"","symbol","date","open","high","low","close","volume","adjusted"
"1","PBYI",2016-01-04,76.629997,77.989998,73,73.540001,521000,73.540001
"2","PBYI",2016-01-05,73.949997,74.419998,69.209999,69.980003,588700,69.980003
"3","PBYI",2016-01-06,69.25,69.330002,66.080002,67.089996,796200,67.089996
"4","PBYI",2016-01-07,65.57,66.709999,59.599998,60.07,1105600,60.07
"5","PBYI",2016-01-08,60.740002,62.299999,58.630001,59.009998,677100,59.009998
"6","PBYI",2016-01-11,59.580002,59.580002,52.189999,54.220001,1203600,54.220001
"7","PBYI",2016-01-12,55.07,60.380001,52.18,55.41,994200,55.41
"8","PBYI",2016-01-13,56.009998,56.009998,47.48,47.799999,1142400,47.799999
"9","PBYI",2016-01-14,48.110001,51.279999,45.610001,51.02,923500,51.02
"10","PBYI",2016-01-15,46.490002,54.610001,46.490002,49.82,1058000,49.82
"11","PBYI",2016-01-19,50.32,50.709999,45.369999,46.919998,1116800,46.919998
"12","PBYI",2016-01-20,45.919998,48.419998,42.52,47.580002,1023200,47.580002
"13","PBYI",2016-01-21,48.07,50.740002,44.919998,45,1030100,45
"14","PBYI",2016-01-22,46.169998,46.540001,43.52,45.049999,912100,45.049999
"15","PBYI",2016-01-25,44.509998,46.5,43.57,45.009998,946300,45.009998
"16","PBYI",2016-01-26,45.080002,45.849998,42.639999,45.380001,1235300,45.380001
"17","PBYI",2016-01-27,44.91,46.09,42.669998,43.029999,703000,43.029999
"18","PBYI",2016-01-28,43.68,45.16,41.049999,41.439999,838500,41.439999
"19","PBYI",2016-01-29,41.41,43.869999,40.5,41.740002,697900,41.740002
"20","PBYI",2016-02-01,41.529999,43.310001,40.439999,42.869999,632500,42.869999
"21","PBYI",2016-02-02,42.009998,43.830002,40.73,42.439999,995800,42.439999
"22","PBYI",2016-02-03,42.759998,43.490002,40.5,43.02,1283300,43.02
"23","PBYI",2016-02-04,42.810001,44.349998,42.619999,43.98,855500,43.98
"24","PBYI",2016-02-05,43.57,43.959999,39.23,39.720001,595800,39.720001
"25","PBYI",2016-02-08,38.369999,38.68,35.43,36.82,813900,36.82
"26","PBYI",2016-02-09,35.5,39.970001,34.709999,35.5,621100,35.5
"27","PBYI",2016-02-10,35.52,38.709999,35.52,36.549999,450100,36.549999
"28","PBYI",2016-02-11,35.720001,40.549999,34.93,38.689999,840600,38.689999
"29","PBYI",2016-02-12,39.09,40.310001,37.759998,39.950001,641400,39.950001
"30","PBYI",2016-02-16,40.48,43.869999,40.32,42.27,858200,42.27
"31","PBYI",2016-02-17,43,45.07,42.669998,44.619999,776800,44.619999
"32","PBYI",2016-02-18,44.68,45.700001,43.330002,44.220001,743700,44.220001
"33","PBYI",2016-02-19,43.779999,46.869999,43.77,46.25,546900,46.25
"34","PBYI",2016-02-22,46.619999,47.82,46.07,46.599998,688200,46.599998
"35","PBYI",2016-02-23,46.220001,46.990002,43.779999,43.82,428400,43.82
"36","PBYI",2016-02-24,43.360001,45.41,41.439999,45.09,375700,45.09
"37","PBYI",2016-02-25,44.990002,47.27,43.130001,44.369999,406400,44.369999
"38","PBYI",2016-02-26,45.470001,46.91,44.380001,45.720001,498200,45.720001
"39","PBYI",2016-02-29,45.84,46.669998,44.009998,44.779999,706200,44.779999
"40","PBYI",2016-03-01,45.189999,46.779999,43.209999,46.299999,797500,46.299999
"41","PBYI",2016-03-02,46.029999,49.709999,45.919998,48.279999,796100,48.279999
"42","PBYI",2016-03-03,48.220001,49,46.419998,46.709999,451700,46.709999
"43","PBYI",2016-03-04,47.150002,50.310001,46.25,48.939999,813900,48.939999
"44","PBYI",2016-03-07,48.93,55.66,48.150002,53.220001,940200,53.220001
"45","PBYI",2016-03-08,53.290001,54.439999,48.130001,48.330002,791800,48.330002
"46","PBYI",2016-03-09,48.740002,49.580002,47,48.639999,625300,48.639999
"47","PBYI",2016-03-10,49.080002,49.77,44.560001,45.450001,605400,45.450001
"48","PBYI",2016-03-11,46.18,48.790001,45.599998,48.560001,388000,48.560001
"49","PBYI",2016-03-14,48.5,50.150002,46.77,49.040001,558300,49.040001
"50","PBYI",2016-03-15,48.080002,48.59,41.959999,41.98,461300,41.98
"51","PBYI",2016-03-16,41.849998,42.419998,37.509998,39.060001,781100,39.060001
"52","PBYI",2016-03-17,39.110001,39.5,36.259998,38.009998,1015200,38.009998
"53","PBYI",2016-03-18,38.200001,39.959999,36.59,39.439999,917700,39.439999
"54","PBYI",2016-03-21,39.220001,43.060001,39.049999,41.369999,572600,41.369999
"55","PBYI",2016-03-22,40.970001,43.700001,40.830002,42.639999,494000,42.639999
"56","PBYI",2016-03-23,42.389999,43.580002,36.799999,36.799999,836600,36.799999
"57","PBYI",2016-03-24,36.16,38.849998,35.029999,36.98,483200,36.98
"58","PBYI",2016-03-28,37.349998,37.349998,35.02,35.369999,620100,35.369999
"59","PBYI",2016-03-29,28.25,29.780001,25.200001,27.92,4184100,27.92
"60","PBYI",2016-03-30,28.370001,29.48,27.01,27.530001,1039600,27.530001
"61","PBYI",2016-03-31,27.5,29.549999,27.5,29.370001,1649900,29.370001
"62","PBYI",2016-04-01,29.360001,30.200001,28.43,29.190001,707300,29.190001
"63","PBYI",2016-04-04,29.34,29.780001,28.41,28.48,589000,28.48
"64","PBYI",2016-04-05,28.1,29.360001,27.719999,29.08,539800,29.08
"65","PBYI",2016-04-06,29.280001,32.080002,29.26,31.870001,1324100,31.870001
"66","PBYI",2016-04-07,31.66,32.560001,30.65,30.85,692400,30.85
"67","PBYI",2016-04-08,31.59,31.940001,30.24,30.780001,431900,30.780001
"68","PBYI",2016-04-11,30.83,31.309999,30.18,30.18,418700,30.18
"69","PBYI",2016-04-12,30.129999,30.719999,29.389999,30.440001,459300,30.440001
"70","PBYI",2016-04-13,30.959999,32.07,30.389999,31.68,449800,31.68
"71","PBYI",2016-04-14,31.950001,32.669998,31.389999,31.950001,472800,31.950001
"72","PBYI",2016-04-15,31.860001,32.220001,31.08,31.85,352400,31.85
"73","PBYI",2016-04-18,31.639999,32.970001,31.25,32.75,440000,32.75
"74","PBYI",2016-04-19,32.669998,33.25,32.32,32.650002,490600,32.650002
"75","PBYI",2016-04-20,32.77,33.650002,32.560001,33.279999,408200,33.279999
"76","PBYI",2016-04-21,33.23,34.73,32.580002,33.970001,573400,33.970001
"77","PBYI",2016-04-22,34.09,34.43,32.82,33.98,681200,33.98
"78","PBYI",2016-04-25,33.98,34.18,32.52,32.700001,582700,32.700001
"79","PBYI",2016-04-26,32.5,32.77,30.59,32.259998,483100,32.259998
"80","PBYI",2016-04-27,32,32.66,31,32.279999,525100,32.279999
"81","PBYI",2016-04-28,32.18,33.619999,31.809999,32.52,612800,32.52
"82","PBYI",2016-04-29,32.400002,32.860001,30.030001,30.690001,486100,30.690001
